config;replication;tp;fp;micro prec;macro prec;tp (xor);fp (xor);micro prec (xor);macro prec (xor);tp (order);fp (order);micro prec (order);macro prec (order);tp (co-occ);fp (co-occ);micro prec (co-occ);macro prec (co-occ);tp (abs);fp (abs);micro prec (abs);macro prec (abs);tp (abs xor);fp (abs xor);micro prec (abs xor);macro prec (abs xor);tp (abs order);fp (abs order);micro prec (abs order);macro prec (abs order);tp (abs co-occ);fp (abs co-occ);micro prec (abs co-occ);macro prec (abs co-occ);tp (variant);fp (variant);micro prec (variant);macro prec (variant);tp (traces);fp (traces);micro prec (traces);macro prec (traces);runtime (h:mm:ss.ms)
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.7_match_one:True_kb_heuristics:True_anomaly_classification:True;0;3151;1057;0.7488117870722434;0.9203038042773316;1631;536;0.7526534379326257;0.9434652474454944;1284;173;0.8812628689087165;0.9713990693863576;236;348;0.4041095890410959;0.9547846045197741;99454;280525;0.2617355169627795;0.8829340214343488;43890;130809;0.2512321192451016;0.9315698788331583;48462;61096;0.4423410431004582;0.9571265445860331;7102;88620;0.0741940201834479;0.9464183156192045;120368;2125;0.9826520699141992;0.9970028332849841;158031;113943;0.5810518652518255;0.9337822296056661;1:01:27.893746
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.5_anomaly_classification:True;0;7968;6807;0.5392893401015229;0.7946839584051378;3131;2529;0.5531802120141343;0.7990951912595997;3475;1155;0.7505399568034558;0.897396154607557;1362;3123;0.3036789297658863;0.7743139372332523;235630;2143212;0.09905239608179106;0.6542308536188922;81141;679685;0.10664856353489496;0.7645233682790746;113622;551250;0.17089304407464895;0.8048582106223704;40867;912277;0.04287599775060222;0.7390350835760681;309490;15812;0.9513928595581952;0.9916592731182587;439316;479119;0.4783310740553224;0.7985700823510843;4:41:39.575418
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.5_kb_heuristics:True_anomaly_classification:True;0;5357;3010;0.6402533763595076;0.8651259573627862;1983;1240;0.615265280794291;0.879961305094147;2721;724;0.7898403483309143;0.9237517997325693;653;1046;0.38434373160682755;0.8876858399368992;166848;969989;0.1467651035284742;0.7809423229613737;53432;329484;0.13953974239781047;0.8594403892709216;92742;346652;0.21106797088717644;0.863335925252863;20674;293853;0.06573044603483962;0.8674437944389674;210415;12922;0.9421412484272647;0.9944899646847275;286183;269143;0.5153423394546627;0.8739716340999734;3:07:27.848526
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.5_match_one:True_kb_heuristics:True_anomaly_classification:True;0;4431;2175;0.6707538601271571;0.8795166747530478;1848;966;0.6567164179104478;0.9055994999586101;2116;451;0.8243085313595637;0.941632753631832;467;758;0.3812244897959184;0.9098351174092699;138729;663253;0.1729826853969291;0.8099342447395852;49486;249260;0.16564573249516312;0.888125871297025;74545;208877;0.26301769093436644;0.9010407184011059;14698;205116;0.06686562275378274;0.8948850699964127;180201;12199;0.9365956340956341;0.9948450072666801;240496;213546;0.5296778712101524;0.8908547731265887;1:41:31.947375
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.6_anomaly_classification:True;0;6167;4799;0.5623746124384461;0.823386520410585;2849;1979;0.59009942004971;0.8368868129205913;2400;607;0.7981376787495843;0.9329304931189407;918;2213;0.29319706164164805;0.8122962372383375;183815;1437519;0.1133726918697813;0.7073431555167816;74659;530205;0.1234310522696011;0.8085868992333669;82198;254879;0.2438552615574483;0.8834357002002636;26958;652435;0.03967953746947643;0.7867590936873325;258887;6214;0.9765598771788866;0.9929232899841496;368378;389599;0.48600155413686696;0.8292968149907033;2:23:00.242574
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.6_kb_heuristics:True_anomaly_classification:True;0;3992;1856;0.6826265389876881;0.8890287830157707;1767;835;0.6790930053804766;0.9139616283551667;1838;379;0.8290482634190347;0.9483949386414868;387;642;0.3760932944606414;0.9225750620612909;125169;542785;0.18739164673016406;0.8288574567610973;47633;215073;0.18131675713535284;0.8981265828680717;65976;155443;0.29796900898296896;0.9181589486856168;11560;172269;0.06288452855643016;0.9100307369733782;162020;3646;0.9779918631463306;0.9955527464382714;215438;184310;0.5389345287531144;0.9020044935592646;1:42:46.643029
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.8_anomaly_classification:True;0;4674;3045;0.605518849591916;0.8676615682084775;2591;1541;0.6270571151984511;0.8726562670696425;1455;287;0.8352468427095293;0.9633049002066945;628;1217;0.3403794037940379;0.8838267399156347;140900;854280;0.141582427299584;0.7895787533957744;68876;396086;0.14813253556204592;0.8509086125782631;53315;110498;0.3254625701256921;0.9371111280113364;18709;347696;0.05106098442979763;0.8670790975494576;188999;4038;0.9790817304454587;0.9949953871479861;260253;256475;0.503655695065876;0.8773121822152935;1:12:24.579692
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.8_kb_heuristics:True_anomaly_classification:True;0;2734;911;0.7500685871056242;0.9217756793335997;1561;552;0.738760056791292;0.9417548641330419;983;147;0.8699115044247787;0.9737122282143466;190;212;0.472636815920398;0.9689475719666396;87762;243346;0.2650555105886901;0.8930903819635628;42843;137301;0.2378264055422329;0.931261471216398;39237;51516;0.43234934382334467;0.9638775612599383;5682;54529;0.09436813871219545;0.9621391881866913;110846;1931;0.9828777144275872;0.9972216776668698;146507;101311;0.5911878878854643;0.9400072088827446;0:58:29.639066
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.9_anomaly_classification:True;0;4631;2934;0.6121612690019829;0.8734102868834313;2603;1535;0.6290478492025133;0.8736384082685844;1417;277;0.8364817001180638;0.9635739119502269;611;1122;0.3525678015002885;0.89368195747742;139830;823130;0.14520852371853452;0.8000784619985961;69195;395583;0.1488775286265701;0.8524963684785734;52414;108001;0.32674001807810993;0.9387786319138243;18221;319546;0.053945471286419334;0.878435790348883;181679;3425;0.9814968882358026;0.9956018586957938;250085;242705;0.5074879766229022;0.8837419188861427;1:06:52.792110
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.9_kb_heuristics:True_anomaly_classification:True;0;2660;832;0.7617411225658648;0.928524461252094;1519;508;0.7493833251110015;0.9453843286735234;964;136;0.8763636363636363;0.9762272792728303;177;188;0.4849315068493151;0.971972104519774;86559;213250;0.28871381446187405;0.9013177808833213;41524;121532;0.25466097537042487;0.935611773172222;39777;45849;0.4645434797841777;0.9666195855140818;5258;45869;0.10284194261349189;0.9656861156415937;105343;1370;0.9871618265815786;0.9977740978372791;138288;89393;0.6073761095567922;0.9450701532287039;0:55:36.708094
